Pathway	FDR	Sig in sSNAPPY
Estrogen-dependent gene expression	0.0444779781791892	FALSE
RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known	0.0444779781791892	FALSE
SUMOylation of DNA replication proteins	0.0444779781791892	TRUE
Regulation of TP53 Activity through Acetylation	0.0444779781791892	TRUE
Mitotic Prophase	0.0444779781791892	TRUE
SUMOylation of transcription cofactors	0.0444779781791892	TRUE
SUMOylation of SUMOylation proteins	0.0444779781791892	TRUE
SARS-CoV-2 Infection	0.0444779781791892	FALSE
SUMO is transferred from E1 to E2 (UBE2I, UBC9)	0.0444779781791892	TRUE
SUMO E3 ligases SUMOylate target proteins	0.0444779781791892	TRUE
SUMO is conjugated to E1 (UBA2:SAE1)	0.0444779781791892	TRUE
Gene Silencing by RNA	0.0444779781791892	FALSE
Regulation of TP53 Activity	0.0444779781791892	TRUE
CD209 (DC-SIGN) signaling	0.0444779781791892	FALSE
SARS-CoV-2-host interactions	0.0444779781791892	FALSE
Transcriptional Regulation by E2F6	0.0444779781791892	FALSE
SUMOylation	0.0444779781791892	TRUE
SARS-CoV Infections	0.0444779781791892	FALSE
Interactions of Vpr with host cellular proteins	0.0444779781791892	FALSE
Vpr-mediated nuclear import of PICs	0.0444779781791892	FALSE
Transcriptional regulation by small RNAs	0.0444779781791892	FALSE
ISG15 antiviral mechanism	0.0444779781791892	TRUE
Nuclear Envelope (NE) Reassembly	0.0444779781791892	FALSE
Nuclear Envelope Breakdown	0.0444779781791892	TRUE
Small interfering RNA (siRNA) biogenesis	0.0444779781791892	FALSE
Cytoprotection by HMOX1	0.0444779781791892	FALSE
Translocation of ZAP-70 to Immunological synapse	0.0444779781791892	TRUE
Transcriptional Regulation by TP53	0.0444779781791892	TRUE
SUMOylation of DNA damage response and repair proteins	0.0444779781791892	TRUE
Regulation of Glucokinase by Glucokinase Regulatory Protein	0.0444779781791892	FALSE
Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)	0.0444779781791892	FALSE
HCMV Late Events	0.0444779781791892	FALSE
Synthesis of active ubiquitin: roles of E1 and E2 enzymes	0.0444779781791892	FALSE
Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase	0.0444779781791892	FALSE
Nuclear Pore Complex (NPC) Disassembly	0.0444779781791892	TRUE
TRAF6-mediated induction of TAK1 complex within TLR4 complex	0.0444779781791892	FALSE
IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation	0.0444779781791892	FALSE
NS1 Mediated Effects on Host Pathways	0.0444779781791892	FALSE
SLC transporter disorders	0.0444779781791892	FALSE
Antiviral mechanism by IFN-stimulated genes	0.0444779781791892	TRUE
Interleukin-18 signaling	0.0444779781791892	FALSE
Mitotic Metaphase and Anaphase	0.0444779781791892	FALSE
PD-1 signaling	0.0444779781791892	FALSE
Export of Viral Ribonucleoproteins from Nucleus	0.0444779781791892	FALSE
NEP/NS2 Interacts with the Cellular Export Machinery	0.0444779781791892	FALSE
SUMOylation of chromatin organization proteins	0.0444779781791892	TRUE
MyD88 deficiency (TLR2/4)	0.0444779781791892	FALSE
IRAK4 deficiency (TLR2/4)	0.0444779781791892	FALSE
Viral Infection Pathways	0.0444779781791892	FALSE
Mitotic Anaphase	0.0444779781791892	FALSE
Viral Messenger RNA Synthesis	0.0444779781791892	FALSE
tRNA processing in the nucleus	0.0444779781791892	FALSE
RMTs methylate histone arginines	0.0444779781791892	TRUE
Transcriptional Regulation by VENTX	0.0444779781791892	FALSE
MicroRNA (miRNA) biogenesis	0.0444779781791892	FALSE
Transport of Ribonucleoproteins into the Host Nucleus	0.0444779781791892	FALSE
SUMOylation of RNA binding proteins	0.0444779781791892	TRUE
Cell Cycle	0.0444779781791892	FALSE
Metabolism of RNA	0.0444779781791892	TRUE
Rev-mediated nuclear export of HIV RNA	0.0444779781791892	FALSE
MASTL Facilitates Mitotic Progression	0.0444779781791892	TRUE
Nuclear import of Rev protein	0.0444779781791892	FALSE
Cell Cycle, Mitotic	0.0444779781791892	FALSE
Regulation of NPAS4 gene expression	0.0444779781791892	TRUE
Amplification of signal from the kinetochores	0.0444779781791892	FALSE
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal	0.0444779781791892	FALSE
