pathway	padj	NES	Sig in sSNAPPY
2-LTR circle formation	0.4132733133973829	-1.339447613796307	FALSE
A tetrasaccharide linker sequence is required for GAG synthesis	0.9067985166872683	-0.7541368457255252	FALSE
ABC transporter disorders	0.36778777287572334	-1.2530756612955145	FALSE
ABC transporters in lipid homeostasis	0.7257918620252973	1.014035185059697	FALSE
ABC-family proteins mediated transport	0.2990604219458821	-1.2976814448552207	FALSE
ADORA2B mediated anti-inflammatory cytokines production	0.9414902998236332	-0.7213160588747275	FALSE
ADP signalling through P2Y purinoceptor 1	0.5895292933810375	-1.1530207984839034	FALSE
ADP signalling through P2Y purinoceptor 12	0.9077373737373737	-0.7423657217641111	FALSE
AKT phosphorylates targets in the cytosol	0.6601469882452383	1.0861700579144846	FALSE
AKT phosphorylates targets in the nucleus	0.9067985166872683	-0.7371460460924392	FALSE
ALKBH3 mediated reversal of alkylation damage	0.7783799177710253	0.9195340307393203	FALSE
ALPK1 signaling pathway	0.5410029498525074	1.2078501456279467	FALSE
AMPK inhibits chREBP transcriptional activation activity	0.8603813559322033	0.8074063117277901	FALSE
APAP ADME	0.4921212121212121	-1.228699886807034	FALSE
APC truncation mutants have impaired AXIN binding	0.8456883681375791	-0.8478016806397299	FALSE
APC-Cdc20 mediated degradation of Nek2A	0.06501026429229259	-1.6423773752717776	TRUE
APC/C-mediated degradation of cell cycle proteins	6.334460910277636e-5	-1.9979823218524002	FALSE
APC/C:Cdc20 mediated degradation of Cyclin B	0.050769702725835676	-1.6759623636223402	TRUE
APC/C:Cdc20 mediated degradation of Securin	0.0059992656324825725	-1.781219220764146	FALSE
APC/C:Cdc20 mediated degradation of mitotic proteins	7.009111309486556e-4	-1.9047603063893446	FALSE
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	0.0010473365634284999	-1.8807527550303662	FALSE
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint	0.0021388565685793223	-1.8481157576608334	FALSE
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway	0.4132733133973829	1.3784256988691201	FALSE
APOBEC3G mediated resistance to HIV-1 infection	0.8511137803013757	-0.8675292769891895	FALSE
ARMS-mediated activation	0.9844809776553165	0.5193307631712192	FALSE
ATF4 activates genes in response to endoplasmic reticulum  stress	0.46882112531606973	1.2113883009074435	TRUE
ATF6 (ATF6-alpha) activates chaperone genes	0.84424027206283	0.8595449986251683	FALSE
ATF6 (ATF6-alpha) activates chaperones	0.8414099754110594	0.8735953613319807	FALSE
AUF1 (hnRNP D0) binds and destabilizes mRNA	0.4370025614926587	-1.1890624239540668	FALSE
AURKA Activation by TPX2	0.3036986990965212	-1.2903798309894685	FALSE
